,company_names,comp_id
0,18 Bagels Co.,923
1,Alyssa's Demo Account (Training Purposes),1572
2,Appelbaum Training Institute,616
3,Arkansas Childrens Hospital Research Institute,980
4,Auntie Anne's Pretzels,1441
5,AzAssist,1111
6,"BJ's Enterprises, Inc.",1317
7,Bahama Bucks,629
8,Bakers Square,1545
9,Barrio Queen,1569
10,Ben Test,1565
11,Ben's Chili Bowl / Ben's Next Door,1542
12,Bentley's Coffee,1098
13,Berline Agency - Wendy's,1552
14,Better Buzz Coffee,625
15,Birmingham Zoo,1091
16,Blue Point Crab House,1318
17,BlueDot,1578
18,Bluedot POS (GCB),1555
19,BoomText,294
20,Bowlero,1373
21,Brandon's Test Company,1595
22,Brewer Oil,1584
23,Brook Valley Management,741
24,Buffalo Wild Wings,796
25,C4 Selenium Company,845
26,Cabazon Outlets - Palm Springs,1322
27,Callaway Golf Company,761
28,Capriotti's,1575
29,Carefree Church,1050
30,Carl Test,1541
31,Castle Family Health Centers,1314
32,Catawba Bingo,519
33,Checkers & Rally's,1207
34,Cheezies,852
35,Chevron,1577
36,Chick-fil-A,315
37,"Chicken Shack, LLC",1544
38,Circle K Stores Inc.,1482
39,Cold Stone Creamery,641
40,Coldwell Banker First Affiliate,1094
41,Comanche Nation,649
42,CommerceTel,97
43,Commercetel,161
44,Corner Market,773
45,Cornerstone Christian Fellowship,609
46,Cornerstone Church,526
47,Cottonwood Church,1115
48,Dadson Washer Service,1052
49,Dairy Queen,568
50,Deermans BBQ,1053
51,Doc Popcorn,1398
52,Double Quick,1634
53,"Earning Coach Marketing, LLC",1054
54,Eckerd College,1055
55,El Pueblito Restaurant,1339
56,Evergreens Salad,1554
57,Extreme Pizza,1423
58,FKG Oil Moto,1589
59,Family Only Inc. - Come Back Shack,716
60,Farmer Boys,1646
61,Fatz Cafe,1539
62,Fiesta Nutrition Center,1406
63,Fit Foodie Express,1453
64,Gibson Theatre,832
65,Grace Church,1058
66,Grace Church Reno,1083
67,Graffiti Jeans Inc,559
68,Granite City Brewery,1535
69,Growler King Medford,1325
70,Guthrie's Chicken Fingers,1059
71,Happy Camp LLC,1060
72,Heart of the South,837
73,High Life Smokeshop,791
74,Hometown Coupon Magazine,537
75,Honey Baked Ham,772
76,Hulkamania,1556
77,Human Wellness Solutions,1095
78,IAPMO,1109
79,Innovative Processing Inc.,654
80,"Interactivation Health Networks, Inc.",1096
81,Internal: Aggregator Certification Flows,257
82,Internal: Anthor API Testing,961
83,Internal: Automation Test Company,1103
84,Internal: BK Test Account,672
85,Internal: CS Pizza,780
86,Internal: Company Init Testing Account,1195
87,Internal: Daniel,763
88,Internal: GOODBYEC4,932
89,Internal: Internal User Company,0
90,Internal: Jonathan Test Account,353
91,Internal: MMP Link App Selection,1635
92,Internal: MMS Certification Test Account,951
93,Internal: MMS TEST Automation Company,1437
94,Internal: Matcherino Test Account,946
95,Internal: Migration Test,859
96,Internal: Migration Test,904
97,Internal: Mobivity,478
98,Internal: Mobivity Cafe Product Demo,784
99,Internal: Mobivity Demo Account,440
100,Internal: Mobivity Sales Demo,642
101,Internal: Mobivity Stampt,552
102,Internal: Model Broadcast Testing Company,943
103,Internal: Paytronix Certification,1534
104,Internal: Pepsi Partnership Demo,1311
105,Internal: Product/QA Account,1408
106,Internal: QA SANDBOX,766
107,Internal: QA_Demo_Test,1401
108,Internal: Rs2Xb AutomationTestCompany,1604
109,Internal: SS-1643 Unsubscribed Users Test,973
110,Internal: SUBWAY TEST ACCOUNT,963
111,Internal: Security Testing,708
112,Internal: Send Test,948
113,Internal: Support Team,783
114,Internal: TOP LEVEL TEST PRODUCTION,956
115,Internal: Test Account Boomtext,887
116,Internal: Test Company,910
117,Internal: YtGR5 AutomationTestCompany,1403
118,Internal: mxBrain Test  Account,1090
119,Internal: newsindutest,1089
120,Internal: sindu singleTest Company 1126,1126
121,Internal: sindu_test,1011
122,Internal: single optin Test Company,1113
123,Internal:GriffinBlank,1594
124,Internal:GriffinTest2,1566
125,Internal:Prod-VidhyaCompany,1548
126,Internal:QA Lab,947
127,Internal:SevetestDAngelo,971
128,JIM'S PIZZA,1061
129,Joe Verde Group,1034
130,June15Company,1600
131,Kangaroo Coffee,835
132,Kenosha Steakhouse,1093
133,Kura Sushi,1597
134,Little Greek,1448
135,Loop Neighborhood,1573
136,LuLu's Pizza LLC,1591
137,MOAPTest,1590
138,Marathon,1642
139,Marley Station Mall,1085
140,Marmalade & Co.,1623
141,"Marmalade, Inc.",1606
142,Maverik Inc.,1547
143,Mo Burgers,1515
144,MoFood Mobivity Demos,1536
145,Mobivity Belly - Unified Messaging,1537
146,Mobivity External Messaging,1266
147,Mobivity Gaming,1561
148,Mobivity Marketing Text Club,1532
149,"Mobivity, Inc.",941
150,Mobivity: Play for Perks,1613
151,Mojo Coffee,674
152,Mr. Pickle's,1449
153,"NORMS Restaurants, LLC",1410
154,NWA Staffing,1338
155,NetSpi,1288
156,New Rodeo Mexican Grill,664
157,Niro's Gyros,802
158,Packo's,1568
159,Paisano's,1540
160,Pasadena Chamber of Commerce,1112
161,Patrick's Practice Account,1571
162,Pepsi Stimulus,1376
163,PepsiCo Food Services,1533
164,Pieology,1632
165,Pinboys on the Beach,1023
166,Pita Pit - Sanavi Enterprises Inc,753
167,"Pizza Factory, Inc.",1593
168,PlayOn! Sports,561
169,Potbelly,1592
170,"Premier Choice Magazine, LLC",1316
171,Punchh,1551
172,Quicklotz,1068
173,Rappahannock Area YMCA Inc,1324
174,Real Answers,1069
175,Real Urban BBQ,1549
176,Refuel,1603
177,Regis-First Choice Haircutters,745
178,Regis-Magicuts,751
179,Regis-Pro Cuts,736
180,Regis-Roosters,744
