,company_id,opt_in_source
0,298,**SONIC
1,1482,100CASHENTRY
2,1482,100GASCARD
3,1482,100GIFTCARD
4,1482,156
5,1482,1MCRINT1123
6,1482,20CENTSFUELRAF
7,1482,2MCRINT1123
8,1482,378
9,1207,424
10,1207,434
11,1207,444
12,1207,454
13,1207,464
14,1482,656
15,1207,895
16,1613,ADQUIREGENERICOPTIN
17,298,ADQUIREOPTINAPI
18,298,ADQUIREOPTINDATA
19,298,ADQUIRESOICAMPAIGN
20,1552,ADQUIREWENDYSOPTIN
21,1547,ADVENTURE
22,1593,ANAHEIM
23,1547,APP
24,1482,ASUSB
25,1482,ATM
26,298,BAE
27,298,BFAST
28,298,BFASTV3
29,1482,BINGO
30,1207,BITE
31,1544,BITES
32,298,BLAST
33,298,BLASTV3
34,1482,BM31DAYSCKOPTIN22
35,1482,BM31DAYSCKOPTIN23
36,1482,BMGASINOCKOPTIN23
37,1482,BMSUMMERTRIPCKOPTIN24
38,1584,BOBOPTINGATORADE
39,1543,BOWL
40,1482,BRENDA20
41,1207,BUCSAPI
42,1579,BURGER
43,1207,BURGERGAME
44,298,BURRITO
45,298,BURRITOV3
46,1552,BWRDGA
47,1552,BWRDGABECKCHAR
48,1552,BWRDGAYOUNG
49,1589,C4ENERGY
50,1482,CAR
51,1482,CARDINALS
52,1207,CARDS
53,1482,CARWASH
54,1482,CATCH
55,1207,CHAMP
56,298,CHEESY
57,298,CHEESYV3
58,1544,CHICKEN
59,298,CHILI
60,1207,CHILL
61,1482,CHIME
62,1207,CHOMP
63,1482,CIRCLE
64,1482,CIRCLEK
65,1482,CIRCLEK-GAME-BRANDMOBILE
66,1482,CK
67,1482,CKADOPTINNOV22
68,1482,CKADQUIREOPTINDATA
69,1482,CKBMAPI
70,1482,CKDEALS
71,1482,CKDOUPAPI
72,1482,CKFEBMAR2024RAF
73,1482,CKFUEL
74,1482,CKFUEL2
75,1482,CKFUELAPI
76,1482,CKFUELCARD
77,1482,CKGCENTRY
78,1482,CKMCRAQAPI
79,1482,CKPEPPER
80,1482,CKQKAPI
81,1482,CKRDGA
82,1482,CKSEPTUAOPTIN
83,298,CLUB
84,1482,COFFEE
85,1583,COFFEE
86,1558,COFFEE
87,298,COOL
88,1207,CRADQUIREOPTINDATA
89,298,CRAVE
90,1207,CRISPY
91,298,CRISPY
92,1207,CRRDGA
93,298,DAILY
94,298,DAILYV3
95,1207,DEAL
96,298,DEAL
97,1207,DEAL2
98,298,DEALS
99,1482,DEALS
100,1207,DEALS
101,298,DELIGHT
102,298,DELISH
103,298,DISCOUNT
104,1482,DNVR
105,298,DOG
106,1589,DOG
107,298,DOGGIE
108,298,DOGGIES
109,298,DOGGIEV3
110,298,DOGS
111,298,DOGV3
112,1207,DOWNLOADNOW
113,298,DRIVEIN
114,298,DRIVEN
115,1482,EASY
116,1482,EASYWAY
117,298,EATS
118,1207,EMAILAPI
119,1644,EMAILSGHTXB
120,1634,EMAILTIKI
121,1482,ENERGY
122,298,ENJOY
123,298,ENJOYV3
124,298,EXCLUSIVE
125,1423,EXTREME
126,762,FACEBOOK
127,1207,FAST
128,298,FLAVOR
129,298,FLUENTOPTINAPI
130,298,FOOD
131,1207,FOODIE
132,1544,FRED
133,1482,FREE
134,1207,FREE2023
135,1207,FREEBURGER2023
136,1207,FREEBURGER99
137,1482,FREECASH99
138,1482,FREEPIZZASLICE
139,1482,FRIDAY
140,1482,FRIENDSHIPDAYRAF
141,1207,FRIES
142,1552,FRIES
143,1482,FRNDLY
144,1482,FROSTER
145,1589,FUEL
146,1482,FUEL
147,1482,FUEL100
148,1482,FUELUP
149,1482,FUELUP2
150,1581,FUN
151,298,GAME
152,1207,GAME
153,1482,GAME
154,1585,GAMEON
155,1584,GAMEOPTINPEPSI
156,1584,GAMEOPTINPOPPEPSIM3D
157,1207,GAMER
158,298,GAMER1
159,298,GAMER2
160,298,GAMER3
161,1482,GAMIFICATION
162,1482,GAMINGUARAF
163,1558,GAS
164,1482,GAS
165,298,GOLDEN
166,298,GOLDENV3
167,298,GOOD
168,298,GOODV3
169,298,GREAT
170,298,GREATV3
171,1448,GREEK
172,1207,GROCERY
173,1482,HELLO
174,1482,HERO
175,1589,HOLIDAY
176,298,HOORAY
177,298,HOTDOG
178,298,HOTDOGV3
179,298,HOWISONIC
180,1207,HUNGRY
181,1207,HUNGRY2
182,1558,ICECREAM
183,298,ICECREAM
184,298,ICECREAMV3
185,1366,INSTALLTOP
186,1603,INTERNALREFUELAPP
187,1482,JACK
188,1482,JACKPOCKET
189,1482,JACKPOT
190,1482,JANTOPLEVELAPI
191,1482,JOIN
192,1558,JOIN
193,1207,JOIN
194,298,JOIN
195,1543,JOIN
196,298,KATIEMTOPV3
197,1207,KEYWORD
198,298,KIDS
199,1589,LAKE
200,1207,LATE
201,1207,LATENIGHTAPI
202,1558,LOYALTYDEMO
203,1207,LPINSTALLAPI
204,1482,LPOPTINAPI
205,1207,LPOPTINAPI
206,1207,MATCH
207,1547,MAVERICK
208,1547,MAVERIK
209,1547,MAVPXOPTIN
210,1207,MCRAQAPI
211,1207,MEAL
212,298,MICHIGAN
213,1482,MONDAY
214,1482,MONSTER
215,1482,MONSTER2
216,1482,MORE
217,298,MORNIN
218,298,MORNING
219,1589,MOTO
220,298,MWTOPLEVEL
221,298,MWTOPTEST
222,298,MYSONIC
223,298,MYSONICDEALS
224,298,MYSONICV3
225,1482,NERDSPLUSHIERAF
226,298,NEWDAY
227,298,NEWDAYV3
228,1558,NEWS
229,298,NOM
230,298,NOMV3
231,1410,NORMS1949
232,1482,NOV2022LIFTOTHER
233,1482,NOV2022TOBACCOFLOW
234,1566,OCT19TOP
235,298,OFFER
236,1207,OFFER
237,1207,OFFER2
238,298,OFFERS
239,1207,OFFERS
240,1482,OH
241,1584,OPTINNTGATORADEM3D
242,298,ORDER
243,298,OREO
244,1613,PERKS
245,298,PERKS
246,298,PERMISSION
247,298,PERMISSIONDATA
248,1482,PHNX
249,1580,PIZZA
250,1482,PIZZA
251,1593,PIZZA
252,1482,PIZZA2
253,1207,PLAY
254,1593,PLAY
255,1579,PLAY
256,1646,PLAY24
257,1207,PLAYNOW
258,1207,POUNCE
259,1207,POUNCEAPI
260,1482,PREMIUM
261,1482,PREMIUM2
262,1441,PRETZEL
263,642,PROMORAFSINGLEOPTIN
264,629,PROMORAFSINGLEOPTIN
265,1098,PROMORAFSINGLEOPTIN
266,1099,PROMORAFSINGLEOPTIN
267,762,PROMORAFSINGLEOPTIN
